Ti Zr Hf V Nb Ta Mo W Re Ru Al Cr Si surf gsf D
0.139 0.000 0.000 0.472 0.250 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.009 0.662 3.035
0.139 0.000 0.000 0.472 0.264 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.020 0.668 3.026
0.139 0.000 0.000 0.486 0.236 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.017 0.664 3.035
0.139 0.000 0.000 0.486 0.250 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.022 0.669 3.023
0.139 0.000 0.000 0.500 0.222 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.023 0.670 3.021
0.139 0.000 0.000 0.500 0.236 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.028 0.670 3.028
0.139 0.000 0.000 0.514 0.208 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.029 0.670 3.029
0.139 0.000 0.000 0.528 0.194 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.028 0.674 3.009
0.139 0.000 0.000 0.528 0.208 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.027 0.673 3.011
0.139 0.000 0.000 0.542 0.194 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.033 0.676 3.005
0.139 0.000 0.000 0.556 0.167 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.036 0.678 3.002
0.139 0.000 0.000 0.556 0.181 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.044 0.677 3.019
0.139 0.000 0.000 0.569 0.153 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.036 0.676 3.013
0.139 0.000 0.000 0.583 0.139 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.040 0.679 3.002
0.139 0.000 0.000 0.583 0.153 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.051 0.677 3.027
0.139 0.000 0.000 0.597 0.125 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.044 0.680 3.008
0.139 0.000 0.000 0.597 0.139 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.059 0.678 3.037
0.153 0.000 0.000 0.458 0.264 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.010 0.667 3.015
0.153 0.000 0.000 0.472 0.250 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.017 0.667 3.024
0.153 0.000 0.000 0.486 0.236 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.014 0.665 3.026
0.153 0.000 0.000 0.500 0.208 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.014 0.669 3.012
0.153 0.000 0.000 0.500 0.222 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.020 0.667 3.027
0.153 0.000 0.000 0.514 0.208 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.020 0.672 3.006
0.153 0.000 0.000 0.528 0.181 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.027 0.674 3.007
0.153 0.000 0.000 0.528 0.194 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.026 0.673 3.012
0.153 0.000 0.000 0.542 0.167 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.029 0.675 3.006
0.153 0.000 0.000 0.542 0.181 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.034 0.677 3.003
0.153 0.000 0.000 0.556 0.153 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.034 0.676 3.008
0.153 0.000 0.000 0.556 0.167 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.035 0.677 3.006
0.153 0.000 0.000 0.569 0.139 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.038 0.677 3.009
0.153 0.000 0.000 0.569 0.153 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.041 0.677 3.014
0.153 0.000 0.000 0.583 0.125 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.043 0.678 3.014
0.153 0.000 0.000 0.583 0.139 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.044 0.677 3.018
0.153 0.000 0.000 0.597 0.111 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.046 0.678 3.019
0.153 0.000 0.000 0.597 0.125 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.056 0.680 3.024
0.167 0.000 0.000 0.472 0.236 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 1.997 0.661 3.020
0.167 0.000 0.000 0.486 0.222 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.005 0.663 3.023
0.167 0.000 0.000 0.500 0.208 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.016 0.667 3.022
0.167 0.000 0.000 0.528 0.167 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.021 0.673 3.002
0.167 0.000 0.000 0.528 0.181 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.030 0.676 3.004
0.167 0.000 0.000 0.542 0.153 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.026 0.674 3.007
0.167 0.000 0.000 0.556 0.139 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.033 0.675 3.013
0.167 0.000 0.000 0.556 0.153 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.032 0.676 3.006
0.167 0.000 0.000 0.569 0.125 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.035 0.677 3.008
0.167 0.000 0.000 0.569 0.139 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.033 0.675 3.009
0.167 0.000 0.000 0.583 0.111 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.044 0.677 3.018
0.167 0.000 0.000 0.583 0.125 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.044 0.676 3.025
0.167 0.000 0.000 0.597 0.097 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.048 0.678 3.022
0.167 0.000 0.000 0.597 0.111 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.052 0.677 3.030
0.181 0.000 0.000 0.500 0.194 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.010 0.666 3.018
0.181 0.000 0.000 0.514 0.181 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.020 0.669 3.019
0.181 0.000 0.000 0.528 0.167 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.031 0.673 3.020
0.181 0.000 0.000 0.542 0.139 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.022 0.674 3.003
0.181 0.000 0.000 0.542 0.153 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.032 0.674 3.013
0.181 0.000 0.000 0.556 0.125 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.031 0.674 3.013
0.181 0.000 0.000 0.556 0.139 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.033 0.675 3.013
0.181 0.000 0.000 0.569 0.111 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.032 0.675 3.009
0.181 0.000 0.000 0.569 0.125 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.034 0.675 3.011
0.181 0.000 0.000 0.583 0.097 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.043 0.677 3.017
0.181 0.000 0.000 0.583 0.111 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.038 0.676 3.013
0.181 0.000 0.000 0.597 0.083 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.051 0.678 3.025
0.181 0.000 0.000 0.597 0.097 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.052 0.677 3.029
0.194 0.000 0.000 0.528 0.153 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.027 0.674 3.008
0.194 0.000 0.000 0.542 0.139 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.029 0.674 3.011
0.194 0.000 0.000 0.556 0.111 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.025 0.675 3.001
0.208 0.000 0.000 0.528 0.139 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.022 0.672 3.009
0.208 0.000 0.000 0.542 0.125 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.030 0.674 3.013
0.208 0.000 0.000 0.556 0.111 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.030 0.675 3.010
0.208 0.000 0.000 0.569 0.083 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.034 0.673 3.021
0.208 0.000 0.000 0.569 0.097 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.035 0.675 3.015
0.208 0.000 0.000 0.583 0.069 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.045 0.675 3.032
0.208 0.000 0.000 0.583 0.083 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.043 0.677 3.019
0.208 0.000 0.000 0.597 0.056 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.051 0.676 3.035
0.208 0.000 0.000 0.597 0.069 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.053 0.677 3.033
0.222 0.000 0.000 0.556 0.097 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.028 0.675 3.005
0.222 0.000 0.000 0.569 0.069 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.040 0.673 3.033
0.222 0.000 0.000 0.569 0.083 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.035 0.674 3.018
0.222 0.000 0.000 0.583 0.056 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.045 0.675 3.029
